Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
LED6	NCD0805R1_C84256	LED0805-RD	110.744mm	-60.198mm	110.744mm	-60.198mm	111.844mm	-60.198mm	2	T	180	Yes	NCD0805R1	NCD0805R1
LED7	NCD0805R1_C84256	LED0805-RD	122.428mm	-60.071mm	122.428mm	-60.071mm	123.528mm	-60.071mm	2	T	180	Yes	NCD0805R1	NCD0805R1
LED8	NCD0805R1_C84256	LED0805-RD	134.747mm	-60.325mm	134.747mm	-60.325mm	135.847mm	-60.325mm	2	T	180	Yes	NCD0805R1	NCD0805R1
LED9	19-217/GHC-YR1S2/3T	LED0603-RD	33.909mm	-26.543mm	33.909mm	-26.543mm	33.909mm	-27.292mm	2	T	90	Yes	19-217/GHC-YR1S2/3T	19-217/GHC-YR1S2/3T
Q1	MMBT3904(RANGE:100-300)	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	71.755mm	-45.339mm	71.755mm	-45.339mm	72.705mm	-44.339mm	3	T	90	Yes	MMBT3904	MMBT3904
Q2	MMBT3904(RANGE:100-300)	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	65.659mm	-45.339mm	65.659mm	-45.339mm	66.609mm	-44.339mm	3	T	90	Yes	MMBT3904	MMBT3904
R9	0805W8F4700T5E	R0805	130.429mm	-60.325mm	130.429mm	-60.325mm	131.429mm	-60.325mm	2	T	180	Yes	470Ω	470Ω
R10	0805W8F4700T5E	R0805	118.237mm	-60.071mm	118.237mm	-60.071mm	119.237mm	-60.071mm	2	T	180	Yes	470Ω	470Ω
R11	0805W8F4700T5E	R0805	106.553mm	-60.198mm	106.553mm	-60.198mm	107.553mm	-60.198mm	2	T	180	Yes	470Ω	470Ω
R12	0805W8F4700T5E	R0805	94.742mm	-60.706mm	94.742mm	-60.706mm	95.742mm	-60.706mm	2	T	180	Yes	470Ω	470Ω
R13	0805W8F4700T5E	R0805	26.289mm	-61.722mm	26.289mm	-61.722mm	27.289mm	-61.722mm	2	T	180	Yes	470Ω	470Ω
R14	0805W8F4700T5E	R0805	38.481mm	-61.722mm	38.481mm	-61.722mm	39.481mm	-61.722mm	2	T	180	Yes	470Ω	470Ω
R15	0805W8F4700T5E	R0805	50.664mm	-61.436mm	50.664mm	-61.436mm	51.664mm	-61.436mm	2	T	180	Yes	470Ω	470Ω
R16	0805W8F4700T5E	R0805	63.627mm	-61.214mm	63.627mm	-61.214mm	64.627mm	-61.214mm	2	T	180	Yes	470Ω	470Ω
R17	0805W8F3300T5E	R0805	31.75mm	-26.543mm	31.75mm	-26.543mm	31.75mm	-25.543mm	2	T	270	Yes	330Ω	330Ω
R18	0402WGF1002TCE	R0402	35.687mm	-53.848mm	35.687mm	-53.848mm	36.12mm	-53.848mm	2	T	180	Yes	10kΩ	10kΩ
R19	0402WGF1002TCE	R0402	46.228mm	-28.829mm	46.228mm	-28.829mm	45.795mm	-28.829mm	2	T	0	Yes	10kΩ	10kΩ
R20	0402WGF1002TCE	R0402	46.228mm	-51.562mm	46.228mm	-51.562mm	46.661mm	-51.562mm	2	T	180	Yes	10kΩ	10kΩ
R21	0805W8F5101T5E	R0805	62.992mm	-27.432mm	62.992mm	-27.432mm	63.992mm	-27.432mm	2	T	180	Yes	5.1kΩ	5.1kΩ
R22	0805W8F5101T5E	R0805	73.406mm	-28.321mm	73.406mm	-28.321mm	74.406mm	-28.321mm	2	T	180	Yes	5.1kΩ	5.1kΩ
R23	0402WGF1002TCE	R0402	68.834mm	-45.847mm	68.834mm	-45.847mm	69.267mm	-45.847mm	2	T	180	Yes	10kΩ	10kΩ
R24	0402WGF1002TCE	R0402	68.834mm	-44.45mm	68.834mm	-44.45mm	68.401mm	-44.45mm	2	T	0	Yes	10kΩ	10kΩ
SW1	TS-1187A-B-A-B	SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5	54.356mm	-27.686mm	54.356mm	-27.686mm	52.481mm	-30.686mm	4	T	90	Yes	TS-1187A-B-A-B	TS-1187A-B-A-B
